# Yulengua 词库 · 西班牙语
# 来源：Instituto Cervantes · Plan Curricular · Nociones específicas A1-A2 + B1-B2
词,释义
tobillo,脚踝
codo,肘部
muñeca,手腕
frente,额头
mejilla,脸颊
barbilla,下巴
ceja,眉毛
pestaña,睫毛
cana,白发
uña,指甲；趾甲
cerebro,大脑
hígado,肝脏
riñón,肾脏
intestino,肠；肠道
esqueleto,骨骼
columna,脊柱；柱子
costilla,肋骨
nervio,神经
articulación,关节
arteria,动脉
tendón,肌腱
postura,姿势；体态
mirada,目光；眼神
parecerse a su padre,像他的父亲
parecerse a su hermano,像他的兄弟
parecerse entre ellos,彼此相像
tener la piel clara,皮肤浅
tener la piel oscura,皮肤深
tener la piel sensible,皮肤敏感
tener la piel suave,皮肤柔软
estar moreno,晒黑了；肤色较深
ser blanco de piel,皮肤白
ser moreno de piel,皮肤深色
tener buen tipo,身材好
tener mal tipo,身材不好
tener buena figura,体型好
tener mala figura,体型不好
tener buen estilo,风格好
tener mal estilo,风格不好
tener buena presencia,仪表好
tener mala presencia,仪表不好
ciego,盲的；盲人
sordo,聋的；聋人
mudo,哑的；不会说话的
saliva,唾液
lágrima,眼泪
sudor,汗
gesto,手势；表情
expresión,表达；表情
ser de estatura normal,身高正常
ser de estatura media,身高中等
ser de estatura mediana,身高中等
ser de altura normal,身高正常
ser de altura media,身高中等
ser de altura mediana,身高中等
tener arrugas,有皱纹
tener una cicatriz,有一道疤
tener buen color,气色好
tener mal color,气色不好
tener buen aspecto,外表好
tener mal aspecto,外表不好
ser clavados,长得一模一样
ser idénticos,完全相同
ser como dos gotas de agua,像两滴水一样
dar un paseo,散步
saltar,跳；跳跃
estar sentado,坐着
estar de pie,站着
respirar,呼吸
llorar,哭
oler,闻；有……气味
tocar,触摸；演奏
besar,亲吻
abrazar,拥抱
levantar las manos,举起手
levantar los brazos,举起手臂
levantar la cabeza,抬起头
bajar las manos,放下手
bajar los brazos,放下手臂
bajar la cabeza,低下头
mover las manos,移动手
mover los brazos,移动手臂
mover la cabeza,移动头
soltar,放开；松开
tumbarse,躺下
tirarse,扑下；倒下；扔自己
incorporarse,坐起；起身；加入
alzarse,站起；升起
agacharse,蹲下；弯腰
cruzar los brazos,交叉双臂
cruzar las piernas,交叉双腿
estar agachado,蹲着
estar derecho,站直
ponerse de pie,站起来
ponerse de espaldas,背对着
ponerse de perfil,侧身对着
ponerse de frente,面对着
ponerse de rodillas,跪下
quedarse quieto,保持不动
quedarse dormido,睡着
quedarse agachado,保持蹲着
quedarse de espaldas,保持背对着
quedarse de rodillas,保持跪着
rascarse,抓挠自己；挠痒
arañar,抓伤；划伤
acariciar,抚摸
dar una patada,踢一脚
dar una torta,扇一巴掌
dar un puñetazo,打一拳
estornudar,打喷嚏
bostezar,打哈欠
sudar,出汗
masticar,咀嚼
escupir,吐口水
aguantar,忍受；坚持；支撑
sujetar,抓住；扶住
aplaudir,鼓掌
señalar,指出；指示
indicar,指示；表明
menstruación,月经
fecundación,受精
embarazo,怀孕；妊娠
aborto,流产；堕胎
parto,分娩；生产
cesárea,剖宫产；剖腹产
vida,生命；生活
muerte,死亡
estar embarazada,怀孕
esperar un hijo,怀着孩子；即将生孩子
ser virgen,是处女/处男；未有性经验
hacer el amor,做爱；发生性关系
tener relaciones sexuales,发生性关系
tomar la píldora,服用避孕药
usar preservativos,使用安全套
tener la regla,来月经
maternidad,母职；母性；产科
paternidad,父职；父性
cadáver,尸体
tumba,坟墓
dar a luz,分娩；生孩子
fallecer,去世
enterrar,埋葬
incinerar,火化；焚烧
optimismo,乐观；乐观主义
pesimismo,悲观；悲观主义
tranquilidad,平静
intranquilidad,不安
paciencia,耐心
impaciencia,不耐烦
sincero,真诚的
paciente,耐心的
impaciente,不耐烦的
introvertido,内向的
vago,懒惰的；游手好闲的
travieso,淘气的
seguro,安全的；自信的
inseguro,不安全的；不自信的
conservador,保守的
hablador,健谈的；话多的
arrogante,傲慢的
tener sentido del humor,有幽默感
tener mucho carácter,脾气/性格很强
tener poco carácter,性格软弱
tener mal carácter,脾气不好
tener un carácter fuerte,性格强
tener un carácter débil,性格弱
tener un carácter fácil,性格随和
tener un carácter difícil,性格难相处
ser de carácter fuerte,性格强
ser de carácter débil,性格弱
ser de carácter fácil,性格随和
ser de carácter difícil,性格难相处
ambición,野心；抱负
arrogancia,傲慢
constancia,恒心
inconstancia,反复无常
cobardía,懦弱
curiosidad,好奇心
egoísmo,自私
generosidad,慷慨
puntualidad,准时
impuntualidad,不准时
responsabilidad,责任感
irresponsabilidad,不负责任
sensibilidad,敏感
insensibilidad,不敏感
seriedad,严肃；认真
sinceridad,真诚
insinceridad,不真诚
ternura,温柔；柔情
timidez,害羞；羞怯
valentía,勇气；勇敢
ambicioso,有野心的
callado,沉默寡言的
cobarde,胆小的；懦弱的
constante,坚持不懈的；稳定的
curioso,好奇的
discreto,谨慎的；低调的
tacaño,吝啬的
tierno,温柔的；嫩的
responsable,负责任的
irresponsable,不负责任的
susceptible,敏感易怒的；易受影响的
apasionado,热情的；充满激情的
solidario,团结互助的；有社会责任感的
tener personalidad,有个性
tener carácter,有性格
tener temperamento,有气质
no tener personalidad,没有个性
no tener carácter,没有性格
no tener temperamento,没有气质
tener un carácter brusco,性格粗鲁
tener un carácter tranquilo,性格平静
tener un carácter serio,性格严肃
ser de carácter brusco,性格粗鲁
ser de carácter tranquilo,性格平静
ser de carácter serio,性格严肃
tener curiosidad,有好奇心
tener ambición,有野心
estar acomplejado,感到自卑；有心理包袱
tener complejo de inferioridad,有自卑情结
tener complejo de superioridad,有优越情结
no tener dos dedos de frente,没脑子；很愚蠢
estar como una cabra,疯疯癫癫；像疯子一样
sentimiento,感情；感受
amor,爱；爱情
amistad,友谊
estar aburrido,感到无聊
estar asustado,感到害怕
estar estresado,感到有压力
estar deprimido,感到抑郁
estar enamorado,处于恋爱中
alegrarse,感到高兴；为……高兴
divertirse,玩得开心
enamorarse,爱上；坠入爱河
aburrirse,感到无聊
deprimirse,变得抑郁
enfadarse,生气
dar pena,让人难过
dar lástima,让人可怜
dar miedo,让人害怕
ponerse triste,变得悲伤
ponerse contento,变得开心
ponerse de mal humor,心情变差
encontrarse bien,感觉良好
encontrarse mal,感觉不好
encontrarse fatal,感觉糟透了
no soportar,无法忍受
alegría,喜悦；快乐
admiración,钦佩；赞赏
alivio,宽慰；缓解
emoción,情绪；激动
felicidad,幸福
orgullo,骄傲；自豪
angustia,痛苦；焦虑
enfado,生气；愤怒
estrés,压力
odio,仇恨；厌恶
temor,恐惧；担忧
tristeza,悲伤
animado,有精神的
desanimado,没精神的
contento,满意的；开心的
fascinado,着迷的
feliz,幸福的；开心的
ilusionado,满怀希望的
desilusionado,失望的
satisfecho,满意的
sorprendido,惊讶的
agobiado,不堪重负的；焦头烂额的
apenado,难过的；惋惜的
avergonzado,羞愧的；尴尬的
disgustado,不高兴的；反感的
dolido,受伤的；伤心的
indignado,愤慨的
resignado,认命的；无奈接受的
sin ánimos,没精神；提不起劲
disfrutar,享受；喜欢
hacer ilusión,令人期待；令人高兴
amar,爱
adorar,崇拜；非常喜爱
volver loco,使疯狂；迷得神魂颠倒
sorprenderse,感到惊讶
asustarse,受惊；害怕
estresarse,感到压力
avergonzarse,感到羞愧
cansarse,疲劳；累
detestar,厌恶；痛恨
lamentar,遗憾；哀叹
resignarse,认命；接受现实
tener envidia,嫉妒；羡慕
dar asco,让人恶心
dar pánico,让人恐慌
dar terror,让人恐惧
dar igual,无所谓
ponerse furioso,变得暴怒
ponerse histérico,变得歇斯底里
sentir alegría,感到喜悦
sentir angustia,感到痛苦
sentirse animado,感到精神振奋
sentirse agobiado,感到压力很大
tocar calor,感到热
tocar frío,感到冷
tocar sueño,感到困
tocar sed,感到渴
tocar hambre,感到饿
sentir calor,感到热
sentir frío,感到冷
sentir sueño,感到困
sentir sed,感到渴
sentir hambre,感到饿
estar bien,感觉好
estar mal,感觉不好
estar regular,感觉一般
sentirse regular,感觉一般
encontrarse regular,感觉一般
vista,视力；视野；景色
gusto,味觉；口味；喜好
tacto,触觉
olfato,嗅觉
tener un calor horrible,觉得热得可怕
tener un calor espantoso,觉得热得可怕
tener un frío horrible,觉得冷得可怕
tener un frío espantoso,觉得冷得可怕
pasar un calor horrible,觉得热得可怕
pasar un calor espantoso,觉得热得可怕
pasar un frío horrible,觉得冷得可怕
pasar un frío espantoso,觉得冷得可怕
sentir un calor horrible,觉得热得可怕
sentir un calor espantoso,觉得热得可怕
sentir un frío horrible,觉得冷得可怕
sentir un frío espantoso,觉得冷得可怕
tener un dolor horrible,疼得厉害
tener un dolor espantoso,疼得厉害
tener un sueño horrible,困得厉害
tener un sueño espantoso,困得厉害
estar agotado,筋疲力尽
estar hambriento,饥肠辘辘
estar helado,冻僵
agotarse,耗尽；筋疲力尽
experimentar dolor,感受疼痛
estar consciente,清醒
estar inconsciente,昏迷
estar distraído,走神
estar loco,疯狂
portarse bien,表现好；行为得体
portarse mal,表现不好；行为不当
ser educado,有礼貌的
ser maleducado,没礼貌的
estar bien educado,受过良好教育（有教养）
estar mal educado,受教育不良（没教养）
ser atento,体贴的；周到的
actuar correctamente,正确地行事
tener buenos modales,举止好
tener malos modales,举止差
tener modales,有礼貌
tener educación,有教养
no tener modales,没有礼貌
no tener educación,没有教养
justicia,正义；公平
solidaridad,团结；互助
justo,公平的；正义的；恰当的
mejorar,改善；提高
progresar,进步；发展
evolucionar,演变；进化
tener buena suerte,运气好
tener mala suerte,运气不好
vivir en las afueras,住在郊区
vivir en el centro,住在市中心
cambiar de dirección,更改地址
recién nacido,新生儿
anciano,老人；年长者
varón,男性；男子
hembra,雌性；女性
masculino,男性的；阳性的
femenino,女性的；阴性的
heterosexual,异性恋的
homosexual,同性恋的
bisexual,双性恋的
transexual,跨性别的；变性者
gay,男同性恋者
lesbiana,女同性恋者
boda civil,民事婚礼
boda religiosa,宗教婚礼
divorcio,离婚
separación,分居；分离
matrimonio homosexual,同性婚姻
matrimonio heterosexual,异性婚姻
pareja de hecho,事实伴侣；未婚同居伴侣
cambiar de nombre,改名
cambiar de apellido,改姓
llamar por el nombre,用名字称呼
llamar por el apellido,用姓氏称呼
tratar de tú,以tú相称（用你称呼）
tratar de usted,以usted相称（用您称呼）
tutear,用 tú 称呼；以非敬称相称
vivir en la periferia,住在城市外围
vivir en el casco antiguo,住在老城区
vivir en el casco histórico,住在历史城区
mudarse de barrio,搬到另一个街区
mudarse de zona,搬到另一个区域
niñez,童年
preadolescencia,青春前期
madurez,成熟；成年期
vejez,老年；衰老
madurar,成熟
envejecer,变老；衰老
hacerse mayor,长大；年纪变大
quedarse viudo,丧偶
burocracia,官僚主义；行政手续
Documento Nacional de Identidad (DNI),西班牙国民身份证（DNI）
tener un documento,持有证件
solicitar un documento,申请证件
renovar un documento,更新证件
perder un documento,遗失证件
validez,有效性；效力
fecha de expiración,到期日期
válido de. a.,从……到……有效
estar caducado el pasaporte,护照过期
estar caducado el permiso de residencia,居留许可过期
tener caducado el pasaporte,护照过期
tener caducado el permiso de residencia,居留许可过期
diario,日记；日报
álbum de fotos,相册
joya,珠宝；首饰
anillo,戒指
collar,项链
pendientes,耳环
pulsera,手链
alianza de oro,金婚戒
alianza de plata,银婚戒
colgante de oro,金吊坠
colgante de plata,银吊坠
gargantilla de oro,金颈链
gargantilla de plata,银颈链
cadena de oro,金链子
cadena de plata,银链子
reloj de pulsera,腕表
reloj digital,电子表
reloj analógico,指针表
lentillas,隐形眼镜
gafas de sol,太阳镜
gafas graduadas,有度数的眼镜
gafas de cerca,看近用的眼镜
gafas de lejos,看远用的眼镜
tener un valor sentimental,有纪念意义；有情感价值
madre soltera,单身母亲
niño adoptado,被收养的孩子
adoptar un niño,收养孩子
educar a un hijo,教育孩子
convivir con la pareja,与伴侣同居
convivir con el novio,与男朋友同居
vivir con el novio,与男朋友同住
llevar [número cardinal] años viviendo juntos,一起生活了[基数词]年
llevar [número cardinal] años viviendo en pareja,作为伴侣生活了[基数词]年
llevar [número cardinal] años conviviendo juntos,一起同居了[基数词]年
llevar [número cardinal] años conviviendo en pareja,作为伴侣同居了[基数词]年
obedecer a los padres,听从父母
desobedecer a los padres,不听从父母
discutir con los padres,与父母争吵
discutir con los hermanos,与兄弟姐妹争吵
discutir con los hijos,与孩子争吵
crecer feliz,快乐地长大
crecer fuerte,强壮地长大
crecer sano,健康地长大
cónyuge,配偶
cuñado,姐夫；妹夫；大伯子；小叔子等姻亲
suegro,岳父/公公；岳母/婆婆（suegro 泛指姻亲父亲）
yerno,女婿
nuera,儿媳
bisabuelo,曾祖父；曾外祖父
tatarabuelo,高祖父；高祖辈祖先
mellizos,异卵双胞胎
trillizos,三胞胎
madre de alquiler,代孕母亲
niño probeta,试管婴儿
familiar cercano,近亲
familiar lejano,远亲
familia numerosa,大家庭
familia adoptiva,收养家庭
padre adoptivo,养父
hijo adoptivo,养子
niño huérfano,孤儿
ser de familia humilde,来自贫寒家庭
ser de familia trabajadora,来自工薪家庭
ser de familia rica,来自富裕家庭
crecer la familia,家庭壮大
aumentar la familia,家庭人口增加（添丁）
reñir,训斥；吵架
pelearse,争吵；打架
estar en familia,和家人在一起
ser como de la familia,像家人一样
educar(se),教育；受教育
quedarse huérfano,成为孤儿
perder a un hijo,失去一个孩子
perder a un hermano,失去一个兄弟姐妹
perder a los padres,失去父母
heredar,继承
hacer testamento,立遗嘱
colega,同事；伙伴；朋友
amigo de la infancia,童年时期的朋友
amigo de la universidad,大学时期的朋友
buen amigo,好朋友
gran amigo,挚友
tener novio,有男朋友
tener pareja,有伴侣
tener una aventura,有外遇
tener una relación,有恋爱关系
tener una relación de amistad,有友谊关系
tener una relación de amor,有恋爱关系
tener una relación de trabajo,有工作关系
empezar una relación,开始一段关系
acabar una relación,结束一段关系
terminar una relación,结束一段关系
salir con alguien,和某人交往
romper con alguien,和某人分手
caer bien,让人喜欢（印象好）
caer mal,让人讨厌（印象差）
llevarse bien,相处得好
llevarse mal,相处得不好
dar la mano,握手
dar un abrazo,拥抱
dar un beso,亲吻
abrazarse,互相拥抱
besarse,互相亲吻
ligar,搭讪；调情；追求
amigo íntimo,密友
amigo de toda la vida,一辈子的朋友
antiguo amigo,老朋友（以前的朋友）
viejo amigo,老友
miembro,成员
invitado,客人；受邀者
enemigo,敌人
relación amorosa,恋爱关系
relación amistosa,友好关系
relación laboral,工作关系
relación personal,个人关系
relación profesional,职业关系
relación sentimental,感情关系
reunión de vecinos,邻居聚会
reunión de socios,合伙人聚会
reunión de antiguos alumnos,校友聚会
tener un lío,有暧昧关系
tener un romance,有恋情
tener un amante,有情人
tener un ligue,有一段短暂恋爱
conocerse de vista,彼此面熟
conocerse bien,彼此熟悉
conocerse por casualidad,偶然认识
relacionarse con alguien,与某人交往
tratar con alguien,与某人打交道
hacer amigos,交朋友
mantener una relación,维持关系
romper una relación,结束关系
saludar calurosamente,热情地打招呼
saludar afectuosamente,亲切地打招呼
despedirse calurosamente,热情地告别
despedirse afectuosamente,亲切地告别
felicitar cordialmente,诚挚友好地祝贺
felicitar sinceramente,真诚地祝贺
hacer una visita,拜访
ir de visita,去拜访
darse dos besos,见面贴面亲两下
estar prometido,已订婚
seducir,诱惑；勾引
fiesta típica,特色节日
fiesta popular,民间节庆
fiesta tradicional,传统节日
fiesta de disfraces,化装舞会
comida de Navidad,圣诞聚餐
comida de familia,家庭聚餐
comida de negocios,商务聚餐
fiesta formal,正式派对
fiesta informal,非正式派对
reunión formal,正式聚会
reunión informal,非正式聚会
despedida de soltero,单身告别派对
boda,婚礼
cumplir años,过生日；满……岁
hacer una despedida de soltero,举办单身告别派对
dar una despedida de soltero,举办单身告别派对
dar una fiesta de fin de curso,举办结业派对
invitar a una despedida de soltero,邀请参加单身告别派对
invitar a una fiesta de fin de curso,邀请参加结业派对
irse de viaje de novios,去度蜜月
irse de luna de miel,去度蜜月
estar de viaje de novios,正在度蜜月
estar de luna de miel,正在度蜜月
felicitar,祝贺
hacer un regalo,送礼物
envolver un regalo,包装礼物
abrir un regalo,打开礼物
nacimiento,出生；诞生
bautizo,洗礼
(primera) comunión,（第一次）圣餐
santo,圣人；命名日
aniversario,周年纪念
bodas de oro,金婚
bodas de plata,银婚
ceremonia,仪式；典礼
banquete,宴会
marcha nupcial,婚礼进行曲
tarta nupcial,婚礼蛋糕
suite nupcial,新婚套房
fiesta nacional,国家节日
fiesta local,地方节日
fiesta religiosa,宗教节日
fiesta oficial,官方节日
celebración,庆祝活动
acto oficial,官方仪式
acto religioso,宗教仪式
acto solemne,庄严的仪式
acto académico,学术活动
ceremonia sencilla,简单的仪式
ceremonia formal,正式的仪式
ceremonia informal,非正式的仪式
acto sencillo,简单的仪式
acto formal,正式的仪式
acto informal,非正式的仪式
organizar un cóctel,组织鸡尾酒会
organizar una celebración,组织庆典
organizar una fiesta de disfraces,组织化装舞会
organizar un funeral,组织葬礼
celebrar un cóctel,举行鸡尾酒会
celebrar una celebración,举行庆祝活动
celebrar una fiesta de disfraces,举行化装舞会
celebrar un funeral,举行葬礼
cancelar un cóctel,取消鸡尾酒会
cancelar una celebración,取消庆典
cancelar una fiesta de disfraces,取消化装舞会
cancelar un funeral,取消葬礼
asistir a un cóctel,参加鸡尾酒会
asistir a una celebración,参加庆典
asistir a una fiesta de disfraces,参加化装舞会
asistir a un funeral,参加葬礼
conmemorar un aniversario,纪念周年
conmemorar una fecha,纪念某个日期
ser el centro de la fiesta,成为派对焦点
dar un discurso,发表讲话
decir unas palabras,说几句话
brindar,举杯；祝酒
hacer un brindis,祝酒
desenvolver un regalo,拆礼物
empaquetar un regalo,打包礼物
desempaquetar un regalo,拆包礼物
actitud agradable,愉快的态度
actitud positiva,积极的态度
actitud extraña,奇怪的态度
tratar bien a alguien,对某人好
tratar mal a alguien,对某人不好
tener una buena actitud,态度好
tener una mala actitud,态度不好
conducta prudente,谨慎的行为
conducta discriminatoria,歧视性的行为
comportamiento prudente,谨慎的行为
comportamiento discriminatorio,歧视性的行为
habilidad,技能；能力
cuidado,小心；照料
imprudencia,鲁莽；不谨慎
hablar bien de alguien,说某人的好话
hablar mal de alguien,说某人的坏话
mostrar una actitud adecuada,表现出合适的态度
mostrar una actitud injusta,表现出不公正的态度
mostrar un comportamiento adecuado,表现出合适的行为
mostrar un comportamiento injusto,表现出不公正的行为
tener una actitud adecuada,有合适的态度
tener una actitud injusta,有不公正的态度
tener un comportamiento adecuado,有合适的行为
tener un comportamiento injusto,有不公正的行为
comportarse bien,表现好
comportarse mal,表现差
comportarse fatal,表现糟糕
dar apoyo,给予支持
dar amistad,给予友谊
dar cariño,给予关爱
dar comprensión,给予理解
mostrar apoyo,表达支持
mostrar amistad,表达友谊
mostrar cariño,表达关爱
mostrar comprensión,表达理解
mostrar confianza,表现出信任
mostrar respeto,表现出尊重
sentir confianza,感到信任
sentir respeto,感到尊重
tener confianza,拥有信任
tener respeto,拥有尊重
alimentación sana,健康饮食
alimentación equilibrada,均衡饮食
producto natural,天然产品
producto para diabéticos,糖尿病患者食品
alimento pesado,难消化的食物
alimento ligero,清淡的食物
comida pesada,难消化的食物
comida ligera,清淡的食物
calorías,卡路里；热量
vitaminas,维生素
proteínas,蛋白质
fibra,纤维
hierro,铁
alimentar(se),喂养；摄取食物
alimento sin conservantes,无防腐剂食品
alimento sin colorantes,无色素食品
alimento bajo en calorías,低热量食品
alimento bajo en sal,低盐食品
alimento bajo en azúcar,低糖食品
alimento rico en calorías,富含热量的食品
alimento rico en vitaminas,富含维生素的食品
alimento rico en proteínas,富含蛋白质的食品
alimento rico en fibra,富含纤维的食品
alimento rico en hierro,富含铁的食品
alimento rico en calcio,富含钙的食品
alimento fresco,新鲜食品
alimento congelado,冷冻食品
alimento orgánico,有机食品
alimento dietético,低卡食品
producto fresco,新鲜产品
producto congelado,冷冻产品
producto orgánico,有机产品
producto dietético,低卡产品
producto alimenticio,食品；食品产品
comida escasa,少量的食物
comida abundante,丰盛的食物
estar en buenas condiciones,状态良好
estar en malas condiciones,状态不佳
estar podrido,腐烂
estar caducado,过期
ponerse malo,变坏；变质；生病
pudrirse,腐烂
ayunar,禁食；斋戒
tener apetito,有食欲
devorar,狼吞虎咽；吞食
comer moderadamente,适量进食
comer excesivamente,过量进食
hacer la digestión,消化
cortarse la digestión,消化受阻
digerir,消化
ser indigesto,难消化
infusión de tila,椴花茶
infusión de manzanilla,洋甘菊茶
infusión de poleo,薄荷茶
vino joven,新酿葡萄酒
vino de la casa,（餐厅）招牌酒
un reserva,陈年珍藏酒（reserva）
abrir una botella,开瓶
servir una bebida,倒饮料
probar una bebida,品尝饮料
estar borracho,喝醉了
tener resaca,宿醉
refresco,软饮料；汽水
licor,利口酒
cóctel,鸡尾酒
vino seco,干型葡萄酒
vino dulce,甜型葡萄酒
agua potable,饮用水
agua del grifo,自来水
cerveza de barril,生啤；桶装啤酒
abrebotellas,开瓶器
sacacorchos,开塞钻；红酒开瓶器
corcho de la botella,瓶塞
tapón de la botella,瓶盖
dar la sed,使口渴
quitar la sed,解渴
chupar,吸；舔
tragar,吞咽
mamar,吃奶；哺乳
emborracharse,喝醉
marisco,海鲜；贝类
especias,香料
embutido,腌制肉肠；冷肉制品
lomo,里脊肉
salchichón,西班牙干香肠（salchichón）
chorizo,西班牙辣香肠（chorizo）
berenjena,茄子
calabacín,西葫芦
espinacas,菠菜
guisantes,豌豆
lentejas,扁豆
judías (blancas),（白）豆
garbanzos,鹰嘴豆
bizcocho,海绵蛋糕
magdalena,玛德琳小蛋糕
cereza,樱桃
piña,菠萝
kiwi,猕猴桃；奇异果
leche entera,全脂牛奶
leche descremada,低脂牛奶
leche desnatada,脱脂牛奶
nata,奶油；鲜奶油
margarina,人造黄油
yogur natural,原味酸奶
yogur desnatado,脱脂酸奶
yogur con frutas,水果酸奶
costilla de cordero,羊排骨
chuleta de cerdo,猪排
pechuga de pollo,鸡胸肉
solomillo de ternera,牛里脊
aceite de oliva,橄榄油
aceite de girasol,葵花籽油
vinagre,醋
mostaza,芥末
clara de huevo,蛋清
yema de huevo,蛋黄
cáscara de huevo,蛋壳
merengue,蛋白霜
crema pastelera,卡仕达馅；糕点奶油
bollería,烘焙甜点；酥点
ensaimada,恩赛马达螺旋甜面包
palmera,棕榈酥；蝴蝶酥
dulces,甜食；糖果
caramelo,糖果；焦糖
lenguado,鳎鱼
dorada,金头鲷
salmonete,红鲻鱼
lubina,欧洲海鲈
frutos del bosque,森林莓果；混合浆果
frambuesa,覆盆子
mora,黑莓
grosella,醋栗
pierna de cordero,羊腿
magro de ternera,瘦牛肉
magro de cerdo,瘦猪肉
langosta,龙虾
langostino,大虾；明虾
mejillón,贻贝；青口
almeja,蛤蜊
legumbres,豆类
frutos secos,坚果
almendras,杏仁
nueces,核桃
avellanas,榛子
albahaca,罗勒
romero,迷迭香
tomillo,百里香
orégano,牛至；奥勒冈草
pechugas de pollo,鸡胸肉
pechugas de pavo,火鸡胸肉
muslos de pollo,鸡腿肉
muslos de pavo,火鸡腿肉
alas de pollo,鸡翅
alas de pavo,火鸡翅
leche condensada,炼乳
leche en polvo,奶粉
queso fresco,鲜奶酪
queso azul,蓝纹奶酪
queso de cabra,山羊奶酪
queso de oveja,绵羊奶酪
harina de trigo,小麦粉
harina de maíz,玉米粉
levadura,酵母
pan integral,全麦面包
pan rallado,面包糠
pan de molde,吐司面包
ingredientes,配料；原料
modo de preparación,制作方法
carne a la plancha,煎烤的肉
carne frita,油炸的肉
carne hervida,水煮的肉
pescado a la plancha,煎烤的鱼
pescado frito,油炸的鱼
pescado hervido,水煮的鱼
blando,软的
duro,硬的
crudo,生的；未熟的
poco hecho,三分熟
muy hecho,全熟
salado,咸的
dulce,甜的；甜味
picante,辣的
amargo,苦的
freír,油炸；煎
hervir,煮沸
cocer,煮；烹煮
asar,烤；烧烤
aliñar,拌调料；调味
condimentar,调味
cocer arroz,煮米饭
cocer pasta,煮意面
hervir agua,烧开水
hervir leche,煮牛奶
batir huevos,打鸡蛋
freír patatas,炸土豆
freír huevos,煎鸡蛋
pelar fruta,削水果皮
pelar patatas,削土豆皮
cortar el pan,切面包
cortar la carne,切肉
aliñar una ensalada,给沙拉调味
quemarse la comida,饭菜烧焦
carne a la brasa,炭烤肉
carne asada,烤肉
carne guisada,炖肉
preparar una comida,准备一顿饭
servir una comida,上一顿饭
cocinar un plato,烹饪一道菜
cocinar un alimento,烹饪一种食物
exprimir un limón,挤柠檬汁
rallar queso,擦碎奶酪
picar carne,绞肉；切碎肉
trocear una manzana,把苹果切块
cocer al vapor,蒸
cocer a fuego lento,小火煮
cocer al baño María,隔水加热
calentar agua,加热水
calentar una salsa,加热酱汁
rebozar una pechuga,给鸡胸裹面糊
empanar una pechuga,给鸡胸裹面包糠
dorar la cebolla,把洋葱炒至金黄
cortar en trozos finos,切成薄片
cortar en trozos gruesos,切成厚块
cortar en trozos pequeños,切成小块
cortar en tacos finos,切成细丁
cortar en tacos gruesos,切成粗丁
cortar en tacos pequeños,切成小丁
cortar en dados finos,切成细方丁
cortar en dados gruesos,切成粗方丁
cortar en dados pequeños,切成小方丁
sopa de pescado,鱼汤
sopa de verduras,蔬菜汤
gazpacho,西班牙冷汤（gazpacho）
cocido,西班牙炖菜（cocido）
croquetas,炸可乐饼（croquetas）
sabor bueno,味道好
sabor agradable,味道令人愉快
soso,淡而无味的；盐少的
sentar bien,吃了舒服（合适）
sentar mal,吃了不舒服（不合适）
bacalao al pilpil,巴斯克蒜香鳕鱼（bacalao al pilpil）
fabada,阿斯图里亚斯白豆炖菜（fabada）
arroz con leche,西班牙米布丁
macedonia de frutas,水果沙拉
sorbete al cava,卡瓦酒冰沙
pincho,小串小吃；pincho
ración,一份；一盘（菜）
sabroso,味美的；可口的
delicioso,美味的
exquisito,精致美味的；极好的
comestible,可食用的
incomestible,不可食用的
comible,能吃的
incomible,难以下咽的
disfrutar (de) una comida,享用一餐
cuchara,勺子
tenedor,叉子
cuchillo,刀
sartén,煎锅
cazo,小锅；长柄锅
mantel,桌布
copa de vino,葡萄酒杯
copa de champán,香槟杯
taza de café,咖啡杯
taza de té,茶杯
taza de desayuno,早餐杯
vaso de agua,一杯水
jarra de agua,水壶
jarra de cerveza,啤酒扎壶
recoger la cocina,收拾厨房
recoger la mesa,收拾桌子
poner los platos,摆盘子
poner la mesa,摆餐桌
recoger los platos,收拾盘子
quitar los platos,撤走盘子
quitar la mesa,撤桌
fregar los platos,洗碗
poner el lavavajillas,启动洗碗机
poner el lavaplatos,启动洗碗机
fuente,大盘；盘子；泉源
bol,碗；钵
tazón,大杯；大碗
olla (a presión),（压力）锅
cacharro,锅具；器皿；破旧东西
cazuela (de barro),（陶制）砂锅；炖锅
recipiente,容器
cuenco,碗；钵
ensaladera,沙拉碗
sopera,汤盆
abrelatas,开罐器
restaurante sencillo,普通餐厅
restaurante de lujo,高档餐厅
comida casera,家常菜
comida tradicional,传统菜
cocina india,印度菜
cocina andaluza,安达卢西亚菜
cocina internacional,国际菜
tomar nota,记下；点单
traer el primer plato,端来第一道菜
traer el segundo plato,端来第二道菜
llevarse el primer plato,撤走第一道菜
llevarse el segundo plato,撤走第二道菜
servir el primer plato,上第一道菜
servir el segundo plato,上第二道菜
tomar un aperitivo,吃开胃菜
tomar una ración,吃一份菜
ir de tapas,吃塔帕斯；逛小吃店
para tomar aquí,堂食
para llevar,外带
autoservicio,自助服务
hamburguesería,汉堡店
restaurante de fama internacional,国际知名餐厅
restaurante de cuatro tenedores,四叉级餐厅
bufé,自助餐
barra,吧台；横杆
barman,酒吧调酒师
comedor,餐厅；饭厅
poner un restaurante,开一家餐厅
llevar un restaurante,经营一家餐厅
montar un restaurante,开办一家餐厅
comer de menú,吃套餐
comer a la carta,按菜单单点
